featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30228,0,56,0.9992083574831423,1.0,0.9986176594011503,0.9993083516537806
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30236,0,48,0.9993214492712648,1.0,0.9988149025998074,0.9994070999777662
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30238,0,46,0.9993497222182954,1.0,0.9988642255746771,0.9994317901082069
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30226,0,58,0.9991800845361116,1.0,0.9985683607730852,0.9992836676217765
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30238,0,46,0.9993497222182954,1.0,0.9988642255746771,0.9994317901082069
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30226,0,58,0.9991800845361116,1.0,0.9985683607730852,0.9992836676217765
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30231,0,53,0.9992507669036882,1.0,0.9986916164708206,0.9993453799883898
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30228,0,56,0.9992083574831423,1.0,0.9986176594011503,0.9993083516537806
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30219,0,65,0.9990811292215044,1.0,0.998395853899309,0.9991972831120717
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30234,0,50,0.9992931763242342,1.0,0.9987655844957413,0.9993824110671937
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30233,0,51,0.9992790398507189,1.0,0.998740927270034,0.9993700670693296
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30237,0,47,0.9993355857447801,1.0,0.9988395634783468,0.9994194448904974
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30225,0,59,0.9991659480625963,1.0,0.9985437132842968,0.9992713260630611
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30238,0,46,0.9993497222182954,1.0,0.9988642255746771,0.9994317901082069
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30229,0,55,0.9992224939566575,1.0,0.9986423105406073,0.9993206941270919
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30237,0,47,0.9993355857447801,1.0,0.9988395634783468,0.9994194448904974
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30235,0,49,0.9993073127977494,1.0,0.998790242938969,0.9993947553700021
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30234,0,50,0.9992931763242342,1.0,0.9987655844957413,0.9993824110671937
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30227,0,57,0.999194221009627,1.0,0.998593009478673,0.9992960094853459
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30232,0,52,0.9992649033772035,1.0,0.9987162712617572,0.9993577233763988
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30241,0,43,0.9993921316388413,1.0,0.9989382191713171,0.9994688275913184
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30234,0,50,0.9992931763242342,1.0,0.9987655844957413,0.9993824110671937
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30248,0,36,0.9994910869534486,1.0,0.9991109135363414,0.9995552590615966
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30227,0,57,0.999194221009627,1.0,0.998593009478673,0.9992960094853459
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30240,0,44,0.9993779951653261,1.0,0.9989135534210721,0.9994564814586061
featureSelectionKsTest,50,featureReductionPCA,50,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
